;GRID_NO;index_right;geometry_y
0;54144;10406;POLYGON ((20.244212198061085 39.80894819042696, 20.208714947652496 39.58483673688631, 19.92104322383136 39.61472407612251, 19.95557111555718 39.83895578417527, 20.244212198061085 39.80894819042696))
15341;54145;10548;POLYGON ((20.532615515209393 39.77808845154899, 20.496152392886476 39.55410051039428, 20.208714947652496 39.58483673688631, 20.244212198061085 39.80894819042696, 20.532615515209393 39.77808845154899))
30682;55143;10265;POLYGON ((19.99043234544379 40.06311332098088, 19.95557111555718 39.83895578417527, 19.666698458238727 39.86811012692149, 19.700577855335073 40.09238580839108, 19.99043234544379 40.06311332098088))
46023;55144;10407;POLYGON ((20.28005180034598 40.03298427679231, 20.244212198061085 39.80894819042696, 19.95557111555718 39.83895578417527, 19.99043234544379 40.06311332098088, 20.28005180034598 40.03298427679231))
61364;55145;10549;POLYGON ((20.569429941381593 40.00199979902107, 20.532615515209393 39.77808845154899, 20.244212198061085 39.80894819042696, 20.28005180034598 40.03298427679231, 20.569429941381593 40.00199979902107))
76705;56141;9988;POLYGON ((19.443708098427404 40.34511993091146, 19.41049465748875 40.1208006447423, 19.120189127009308 40.14835676496324, 19.152404778551563 40.372788650895764, 19.443708098427404 40.34511993091146))
92046;56142;10128;POLYGON ((19.734785745932463 40.31658912377189, 19.700577855335073 40.09238580839108, 19.41049465748875 40.1208006447423, 19.443708098427404 40.34511993091146, 19.734785745932463 40.31658912377189))
107387;56143;10266;POLYGON ((20.025631254262514 40.28719731132553, 19.99043234544379 40.06311332098088, 19.700577855335073 40.09238580839108, 19.734785745932463 40.31658912377189, 20.025631254262514 40.28719731132553))
122728;56144;10408;POLYGON ((20.316238205305883 40.256945605065226, 20.28005180034598 40.03298427679231, 19.99043234544379 40.06311332098088, 20.025631254262514 40.28719731132553, 20.316238205305883 40.256945605065226))
138069;56145;10550;POLYGON ((20.606600230840073 40.22583514582746, 20.569429941381593 40.00199979902107, 20.28005180034598 40.03298427679231, 20.316238205305883 40.256945605065226, 20.606600230840073 40.22583514582746))
153410;56146;10698;POLYGON ((20.8967110137061 40.19386710348466, 20.858560539851023 39.97016103947713, 20.569429941381593 40.00199979902107, 20.606600230840073 40.22583514582746, 20.8967110137061 40.19386710348466))
168751;57141;9989;POLYGON ((19.477244979374987 40.56936864908947, 19.443708098427404 40.34511993091146, 19.152404778551563 40.372788650895764, 19.18493444975485 40.59715110060418, 19.477244979374987 40.56936864908947))
184092;57142;10129;POLYGON ((19.769326436834547 40.54072070713207, 19.734785745932463 40.31658912377189, 19.443708098427404 40.34511993091146, 19.477244979374987 40.56936864908947, 19.769326436834547 40.54072070713207))
199433;57143;10267;POLYGON ((20.061172262098797 40.51120837366781, 20.025631254262514 40.28719731132553, 19.734785745932463 40.31658912377189, 19.769326436834547 40.54072070713207, 20.061172262098797 40.51120837366781))
214774;57144;10409;POLYGON ((20.352775944911265 40.480832777719414, 20.316238205305883 40.256945605065226, 20.025631254262514 40.28719731132553, 20.061172262098797 40.51120837366781, 20.352775944911265 40.480832777719414))
230115;57145;10551;POLYGON ((20.644131026014303 40.44959507808871, 20.606600230840073 40.22583514582746, 20.316238205305883 40.256945605065226, 20.352775944911265 40.480832777719414, 20.644131026014303 40.44959507808871))
245456;57146;10699;POLYGON ((20.93523109834658 40.41749646304214, 20.8967110137061 40.19386710348466, 20.606600230840073 40.22583514582746, 20.644131026014303 40.44959507808871, 20.93523109834658 40.41749646304214))
260797;58141;9990;POLYGON ((19.511109569664495 40.79354744271924, 19.477244979374987 40.56936864908947, 19.18493444975485 40.59715110060418, 19.217782291963555 40.8214447726383, 19.511109569664495 40.79354744271924))
276138;58142;10130;POLYGON ((19.80420431399143 40.764781186411824, 19.769326436834547 40.54072070713207, 19.477244979374987 40.56936864908947, 19.511109569664495 40.79354744271924, 19.80420431399143 40.764781186411824))
291479;58143;10268;POLYGON ((20.097059870116553 40.73514712005665, 20.061172262098797 40.51120837366781, 19.769326436834547 40.54072070713207, 19.80420431399143 40.764781186411824, 20.097059870116553 40.73514712005665))
306820;58144;10410;POLYGON ((20.38966963410564 40.70464639053099, 20.352775944911265 40.480832777719414, 20.061172262098797 40.51120837366781, 20.097059870116553 40.73514712005665, 20.38966963410564 40.70464639053099))
322161;58145;10552;POLYGON ((20.68202705416313 40.67328017493418, 20.644131026014303 40.44959507808871, 20.352775944911265 40.480832777719414, 20.38966963410564 40.70464639053099, 20.68202705416313 40.67328017493418))
337502;58146;10700;POLYGON ((20.97412563185336 40.64104968026576, 20.93523109834658 40.41749646304214, 20.644131026014303 40.44959507808871, 20.68202705416313 40.67328017493418, 20.97412563185336 40.64104968026576))
352843;58147;10850;POLYGON ((21.26595892329753 40.607956143096665, 21.226069808217016 40.384538149989126, 20.93523109834658 40.41749646304214, 20.97412563185336 40.64104968026576, 21.26595892329753 40.607956143096665))
368184;59141;9991;POLYGON ((19.54530621753954 41.01765694931817, 19.511109569664495 40.79354744271924, 19.217782291963555 40.8214447726383, 19.25095253338667 41.04567031989786, 19.54530621753954 41.01765694931817))
383525;59142;10131;POLYGON ((19.839423844272712 40.9887711833441, 19.80420431399143 40.764781186411824, 19.511109569664495 40.79354744271924, 19.54530621753954 41.01765694931817, 19.839423844272712 40.9887711833441))
398866;59143;10269;POLYGON ((20.133298662370105 40.95901415604556, 20.097059870116553 40.73514712005665, 19.80420431399143 40.764781186411824, 19.839423844272712 40.9887711833441, 20.133298662370105 40.95901415604556))
414207;59144;10411;POLYGON ((20.42692397265517 40.92838703248667, 20.38966963410564 40.70464639053099, 20.097059870116553 40.73514712005665, 20.133298662370105 40.95901415604556, 20.42692397265517 40.92838703248667))
429548;59145;10553;POLYGON ((20.720293129260984 40.89689100840385, 20.68202705416313 40.67328017493418, 20.38966963410564 40.70464639053099, 20.42692397265517 40.92838703248667, 20.720293129260984 40.89689100840385))
444889;59146;10701;POLYGON ((21.01339954087583 40.864527309876635, 20.97412563185336 40.64104968026576, 20.68202705416313 40.67328017493418, 20.720293129260984 40.89689100840385, 21.01339954087583 40.864527309876635))
460230;59147;10851;POLYGON ((21.306236671963653 40.83129719299133, 21.26595892329753 40.607956143096665, 20.97412563185336 40.64104968026576, 21.01339954087583 40.864527309876635, 21.306236671963653 40.83129719299133))
475571;60141;9992;POLYGON ((19.579839351934503 41.241697800401916, 19.54530621753954 41.01765694931817, 19.25095253338667 41.04567031989786, 19.284449480835736 41.26982838956228, 19.579839351934503 41.241697800401916))
490912;60142;10132;POLYGON ((19.874989577288588 41.21269131337194, 19.839423844272712 40.9887711833441, 19.54530621753954 41.01765694931817, 19.579839351934503 41.241697800401916, 19.874989577288588 41.21269131337194))
506253;60143;10270;POLYGON ((20.169893307665124 41.182810080603765, 20.133298662370105 40.95901415604556, 19.839423844272712 40.9887711833441, 19.874989577288588 41.21269131337194, 20.169893307665124 41.182810080603765))
521594;60144;10412;POLYGON ((20.464543747048218 41.15205528568822, 20.42692397265517 40.92838703248667, 20.133298662370105 40.95901415604556, 20.169893307665124 41.182810080603765, 20.464543747048218 41.15205528568822))
536935;60145;10554;POLYGON ((20.758934153934764 41.12042814334624, 20.720293129260984 40.89689100840385, 20.42692397265517 40.92838703248667, 20.464543747048218 41.15205528568822, 20.758934153934764 41.12042814334624))
552276;60146;10702;POLYGON ((21.05305784260482 41.08792989909214, 21.01339954087583 40.864527309876635, 20.720293129260984 40.89689100840385, 20.758934153934764 41.12042814334624, 21.05305784260482 41.08792989909214))
567617;61141;9993;POLYGON ((19.614713484303252 41.465670621404726, 19.579839351934503 41.241697800401916, 19.284449480835736 41.26982838956228, 19.31827752151035 41.49391962301745, 19.614713484303252 41.465670621404726))
582958;61142;10133;POLYGON ((19.910906147260608 41.43654218556257, 19.874989577288588 41.21269131337194, 19.579839351934503 41.241697800401916, 19.614713484303252 41.465670621404726, 19.910906147260608 41.43654218556257))
598299;61143;10271;POLYGON ((20.206848561470085 41.40653548602368, 20.169893307665124 41.182810080603765, 19.874989577288588 41.21269131337194, 19.910906147260608 41.43654218556257, 20.206848561470085 41.40653548602368))
613640;61144;10413;POLYGON ((20.502533832446318 41.37565172525335, 20.464543747048218 41.15205528568822, 20.169893307665124 41.182810080603765, 20.206848561470085 41.40653548602368, 20.502533832446318 41.37565172525335))
628981;61145;10555;POLYGON ((20.797955121453004 41.343892137312494, 20.758934153934764 41.12042814334624, 20.464543747048218 41.15205528568822, 20.502533832446318 41.37565172525335, 20.797955121453004 41.343892137312494))
644322;62141;9994;POLYGON ((19.649933210498045 41.689576031596765, 19.614713484303252 41.465670621404726, 19.31827752151035 41.49391962301745, 19.352441124832843 41.717944655779355, 19.649933210498045 41.689576031596765))
659663;62142;10134;POLYGON ((19.947178274943543 41.660324402517986, 19.910906147260608 41.43654218556257, 19.614713484303252 41.465670621404726, 19.649933210498045 41.689576031596765, 19.947178274943543 41.660324402517986))
675004;62143;10272;POLYGON ((20.244169267879894 41.63019095782485, 20.206848561470085 41.40653548602368, 19.910906147260608 41.43654218556257, 19.947178274943543 41.660324402517986, 20.244169267879894 41.63019095782485))
690345;62144;10414;POLYGON ((20.54089919468818 41.59917691921284, 20.502533832446318 41.37565172525335, 20.206848561470085 41.40653548602368, 20.244169267879894 41.63019095782485, 20.54089919468818 41.59917691921284))
705686;62145;10556;POLYGON ((20.837361117769014 41.56728354044659, 20.797955121453004 41.343892137312494, 20.502533832446318 41.37565172525335, 20.54089919468818 41.59917691921284, 20.837361117769014 41.56728354044659))
721027;63140;9854;POLYGON ((19.38694484433358 41.94190411741465, 19.352441124832843 41.717944655779355, 19.054709122532376 41.74542911853448, 19.08814287344518 41.96950580539359, 19.38694484433358 41.94190411741465))
736368;63141;9995;POLYGON ((19.685503212700173 41.91341464399786, 19.649933210498045 41.689576031596765, 19.352441124832843 41.717944655779355, 19.38694484433358 41.94190411741465, 19.685503212700173 41.91341464399786))
751709;63142;10135;POLYGON ((19.98381076960011 41.88403856028208, 19.947178274943543 41.660324402517986, 19.649933210498045 41.689576031596765, 19.685503212700173 41.91341464399786, 19.98381076960011 41.88403856028208))
767050;63143;10273;POLYGON ((20.281860361633296 41.853777074654055, 20.244169267879894 41.63019095782485, 19.947178274943543 41.660324402517986, 19.98381076960011 41.88403856028208, 20.281860361633296 41.853777074654055))
782391;63144;10415;POLYGON ((20.579644892348444 41.82263142840373, 20.54089919468818 41.59917691921284, 20.244169267879894 41.63019095782485, 20.281860361633296 41.853777074654055, 20.579644892348444 41.82263142840373))
797732;63145;10557;POLYGON ((20.877157323619603 41.790602895371435, 20.837361117769014 41.56728354044659, 20.54089919468818 41.59917691921284, 20.579644892348444 41.82263142840373, 20.877157323619603 41.790602895371435))
813073;64140;9855;POLYGON ((19.42179331958854 42.165798631457854, 19.38694484433358 41.94190411741465, 19.08814287344518 41.96950580539359, 19.121911020694064 42.19351875265145, 19.42179331958854 42.165798631457854))
828414;64141;9996;POLYGON ((19.721428261404064 42.137187065288025, 19.685503212700173 41.91341464399786, 19.38694484433358 41.94190411741465, 19.42179331958854 42.165798631457854, 19.721428261404064 42.137187065288025))
843755;64142;10136;POLYGON ((20.02080853103007 42.10768524824407, 19.98381076960011 41.88403856028208, 19.685503212700173 41.91341464399786, 19.721428261404064 42.137187065288025, 20.02080853103007 42.10768524824407))
859096;64143;10274;POLYGON ((20.319926870185704 42.0772944081819, 20.281860361633296 41.853777074654055, 19.98381076960011 41.88403856028208, 20.02080853103007 42.10768524824407, 20.319926870185704 42.0772944081819))
874437;64144;10416;POLYGON ((20.618776078852893 42.04601580635844, 20.579644892348444 41.82263142840373, 20.281860361633296 41.853777074654055, 20.319926870185704 42.0772944081819, 20.618776078852893 42.04601580635844))
889778;64145;10558;POLYGON ((20.917349016681154 42.013850737070655, 20.877157323619603 41.790602895371435, 20.579644892348444 41.82263142840373, 20.618776078852893 42.04601580635844, 20.917349016681154 42.013850737070655))
905119;65140;9856;POLYGON ((19.456991278210925 42.38962881532515, 19.42179331958854 42.165798631457854, 19.121911020694064 42.19351875265145, 19.156018157039533 42.41746859444164, 19.456991278210925 42.38962881532515))
920460;65141;9997;POLYGON ((19.75771321745637 42.360893895714256, 19.721428261404064 42.137187065288025, 19.42179331958854 42.165798631457854, 19.456991278210925 42.38962881532515, 19.75771321745637 42.360893895714256))
935801;65142;10137;POLYGON ((20.058176551655652 42.33126504903823, 20.02080853103007 42.10768524824407, 19.721428261404064 42.137187065288025, 19.75771321745637 42.360893895714256, 20.058176551655652 42.33126504903823))
951142;65143;10275;POLYGON ((20.358373915839355 42.300743522994985, 20.319926870185704 42.0772944081819, 20.02080853103007 42.10768524824407, 20.058176551655652 42.33126504903823, 20.358373915839355 42.300743522994985))
966483;65144;10417;POLYGON ((20.65829800465186 42.26933059918992, 20.618776078852893 42.04601580635844, 20.319926870185704 42.0772944081819, 20.358373915839355 42.300743522994985, 20.65829800465186 42.26933059918992))
981824;66141;9998;POLYGON ((19.79436303415212 42.58453572899361, 19.75771321745637 42.360893895714256, 19.456991278210925 42.38962881532515, 19.49254353789844 42.61339528022484, 19.79436303415212 42.58453572899361))
997165;66142;10138;POLYGON ((20.095919918664865 42.55477853843966, 20.058176551655652 42.33126504903823, 19.75771321745637 42.360893895714256, 19.79436303415212 42.58453572899361, 20.095919918664865 42.55477853843966))
1012506;66143;10276;POLYGON ((20.397206717932516 42.524124976484494, 20.358373915839355 42.300743522994985, 20.058176551655652 42.33126504903823, 20.095919918664865 42.55477853843966, 20.397206717932516 42.524124976484494))
1027847;66144;10418;POLYGON ((20.69821601945377 42.49257634547237, 20.65829800465186 42.26933059918992, 20.358373915839355 42.300743522994985, 20.397206717932516 42.524124976484494, 20.69821601945377 42.49257634547237))
1043188;67141;9999;POLYGON ((19.831382759389427 42.808113152212755, 19.79436303415212 42.58453572899361, 19.49254353789844 42.61339528022484, 19.52845500853811 42.83709863106402, 19.831382759389427 42.808113152212755))
1058529;67142;10139;POLYGON ((20.13404381621478 42.77822628525622, 20.095919918664865 42.55477853843966, 19.79436303415212 42.58453572899361, 19.831382759389427 42.808113152212755, 20.13404381621478 42.77822628525622))
